"recid","issueID","user","createtime","updatetime","text","identifier"
"11","1","GroupH1/user3","1486693686","1486693686","Okay. No worries.","278840572"
"1","1","GroupH1/user2","1486690954","1486690954","Having issues with RVM on my laptop. Cleaning up and reinstall the whole environment as we speak. Might take some time...","278833763"
"4","1","GroupH1/user2","1486766737","1486766737","Still having the Ruby version issue on my OS. Still trying to figure things out, if I can't get things going by tonight, I'll switch to another approach to setup the server (A.K.A  ditching Ruby on Rails)","279087400"
"5","1","GroupH1/user2","1486789794","1486789794","Slowly moving forward for the day, I have API calls for login and logout, still trying to get the token auth to work before I move to register...Hopefully I can get it done before Sunday.","279122096"
"6","1","GroupH1/user2","1486921014","1486921014","Curl used for login   `curl -k -v -H ""Content-Type:application/json"" -X POST -d '{""session"":{""password"":""12345678"",""email"":""example@zapserver.com""}}' https://zapserver.herokuapp.com/api/sessions/`","279234323"
"7","1","GroupH1/user2","1486924035","1486924035","  Headers you need:  <img width=""1245"" alt=""screen shot 2017-02-12 at 1 22 59 pm"" src=""https://cloud.githubusercontent.com/assets/4381690/22864854/e2d91c90-f126-11e6-9039-bbaf8de3a6ed.png"">    Content and the web address you need to send the JSON to:  <img width=""1253"" alt=""screen shot 2017-02-12 at 1 23 02 pm"" src=""https://cloud.githubusercontent.com/assets/4381690/22864858/f687f270-f126-11e6-809e-1d8ff77f32bf.png"">    ","279237592"
"8","1","GroupH1/user2","1486933335","1486933335","Logout format:    `curl -k -v -H ""Content-Type:application/json"" -X DELETE https://zapserver.herokuapp.com/api/sessions/DxsBFrATCNxt_9J8f94a`        for the part where DxsBFrATCNxt_9J8f94a change it to user's auth_token","279248601"
"9","1","GroupH1/user2","1486950588","1486950588","Server side register, login and logout APIs have been implemented and tested. Working on magic link implementation next week.","279276014"
"10","1","GroupH1/user2","1487298547","1487298547","Done. Adding the documentations now","280531346"
"3","1","GroupH1/user2","1486734901","1486734901","Rails environment is ready on my laptop, but it's harder than I thought it would be, devise no longer support token_auth so I have to take it to another direction.","278947080"
"2","1","GroupH1/user2","1486734853","1486734853","@KaustubhG @thegreyd you guys can setup the app with local db authentication first while I get the server up and ready.","278946929"
"12","2","GroupH1/user2","1486996001","1486996001","Done with the testing using cURL.","279406389"
"13","3","GroupH1/user2","1486950498","1486950498","Documentation has been added in the README file in this repo, can also be seen in [here](https://github.com/SE17GroupH/ZapServer/blob/master/README.md). @thegreyd @KaustubhG Let me know if you guys have anything that needs more clarification. I'll work on magic link implementation tomorrow.","279275884"
"14","4","GroupH1/user2","1487253656","1487253656","Done!","280337469"
"15","5","GroupH1/user2","1487253665","1487253665","Done!","280337504"
"16","6","GroupH1/user2","1487295719","1487295719","Done on the server side","280523796"
"17","7","GroupH1/user2","1487298525","1487298525","Done","280531289"
"18","8","GroupH1/user1","1487298718","1487298718","This is fixed now. Getting the right error message. ","280531770"
"19","8","GroupH1/user2","1487179139","1487179139","Working on this right now. Tried several methods, still 500 error, I think it's due to Rails ActiveRecord, when a record is not found, it's gonna render a 500 error, try to override this by using some sort of catch exception but it's not functional somehow. Just use the 500 error for now, I'll work on something later","280075836"
"20","13","GroupH1/user1","1487434404","1487434404","Okay. I thought we could rollback to what we previously had. But yeah if it's too much trouble, the system we have now is fine.","280855425"
"21","13","GroupH1/user1","1487437401","1487437401","Yes good point. ","280858802"
"22","13","GroupH1/user2","1487422959","1487422959","I'm doing the user register/authentication using devise, and email verification comes with that. The idea is great, but if we went with that, I'll have to start the whole process, including auth_token all from the scratch, I don't think we have the time for that. Let's finish testing first, I'll see what I can do, but I really doubt that I can get that done in time. ","280844280"
"23","13","GroupH1/user2","1487435214","1487435214","Or we can call this a trade off, for having three method of authentication you need to use email for your username and verify your email address. ","280856311"
"24","13","GroupH1/user3","1487435132","1487435132","I guess the email verification is fine as the very first step too. Since our user-name **is** the user's email, the verification part makes sure that the user uses a valid email address to sign-up! 😄 ","280856226"
"25","14","GroupH1/user1","1487610479","1487610479","even this doesn't work  `curl -k -v -H ""Content-Type:application/json"" -X POST -d ""{""magiclink"":{""email"":""sid.sharma0@gmail.com""}}"" https://zapserver.herokuapp.com/api/magiclinks/`    this used to work in the login request.  ","281133608"
"27","14","GroupH1/user1","1487611734","1487611804","Got it. An error in the url.","281138371"
"28","14","GroupH1/user2","1487596944","1487596944","@thegreyd The reason it throws an error is because single quote is not a legal JSON format, you need to use double quotes instead. There's nothing I can do on the server side since there's a strict policy regarding JSON format. ","281077891"
"29","14","GroupH1/user2","1487612015","1487612015","Cool. I'm making a change to the return JSON since now it returns nothing after sending the magic link email","281139468"
"30","14","GroupH1/user2","1487612149","1487612149","Done. Now it will return a JSON: {""Message"":""Magic Link Sent""} if the email is sent out successfully.","281139985"
"26","14","GroupH1/user1","1487611635","1487611635","Here's what I am doing for login request:  `json_request = String.format(""{ \""session\"": { \""email\"": \""%s\"", \""password\"": \""%s\"" } }"",email, passwd);`    Here's the magic link json  `json_request = String.format(""{ \""magiclink\"": { \""email\"": \""%s\"" } }"",email);  `","281137991"
"31","17","GroupH1/user2","1487885310","1487885310","Done","282126798"
"32","18","GroupH1/user1","1489117283","1489117283","I was rethinking the process to login. Currently, a user needs to login before using any of the alternative login methods. Ideally this shouldn't be the case.     For the magic link, we don't need the password, only email.     For Voice we shouldn't need the password, only the email and the voice sample. With every email , there is a microsoft profile id; hence we verify the voice sample with the profile id associated with the provided email id.  ","285565103"
"33","18","GroupH1/user1","1489265553","1489265553","@DevArenaCN Yes you are correct about fingerprint. For that, the fingerprint needs to be registered on the device, and the user first needs to login with the password. After these two steps have been done the first time, we allow the user to login with fingerprint, by sending password in the background.    Text based password will still be an option. SO in total there will be 4 options on the login screen. the first field will be email which is absolutely needed. next 4 buttons - password, magic link, voice, fingerprint.     Changing the password would not change magic link. For voice also, it shouldn't in the ideal case if we are associating the email and the voice profile id. The key to make voice auth better is to store the profile id on the server. That way i can just enter the email, record my voice and login directly.    I have gone through some rails tutorials, and have a local instance of ZapServer running. I will be experimenting with it, and hopefully help in adding this functionality. We don't necessarily have to do this before demo day. What he have now is good, and we can talk to the professor about how this functionality will be in the next release.","285899256"
